School Name,Website,Phone Number
Hardin-Houston Local School District,http://www.hardinhouston.org,(937) 295-3010
Harrisburg Pike Community School,http://www.harrisburgpikehornets.com/,(614) 223-1510
Harrison Hills City School District,http://www.hhcsd.org/,(740) 942-7800
Harvard Avenue Community School,http://www.performanceacademies.com/ohio-schools/harvard-per,(216) 283-5100
Heath City School District,http://www.heath.k12.oh.us/,(740) 238-7110
Heir Force Community School,http://www.heirforcecs.com/,(419) 228-9241
Hicksville Exempted Village School District,http://www.hicksvilleschools.org,(419) 542-7665
Highland Local School District,http://www.highlandschools.org/,(330) 239-1901
Highland Local School District,http://highland.k12.oh.us/,(419) 768-2206
Hilliard City School District,http://www.hilliardschools.org/,(614) 921-7000
Hillsboro City School District,http://www.hillsboro.k12.oh.us/,(937) 393-3475
Hillsdale Local School District,http://www.hillsdale.k12.oh.us/,(419) 368-8231
Holgate Local School District,http://www.holgateschools.org/,(419) 264-5141
Hope Academy Northcoast,http://acancoast.com/,(216) 429-0232
Hope Academy Northwest Campus,http://acanwest.com/,(216) 226-6800
Hopewell-Loudon Local School District,http://www.hopewell-loudon.k12.oh.us/,(419) 937-2216
Horizon Science Academy Cleveland,http://www.hsas.org,(216) 432-3660
Horizon Science Academy Columbus,http://hs.horizoncolumbus.org/,(614) 846-7616
Horizon Science Academy Columbus Middle School,http://ms.horizoncolumbus.org/,(614) 428-6564
Horizon Science Academy Dayton Downtown,http://dt.horizondayton.org/,(937) 281-1980
Horizon Science Academy Dayton High School,http://hs.horizondayton.org/,(937) 281-1480
Horizon Science Academy Denison Elementary School,http://www.denisonelementary.org/,(216) 661-8840
Horizon Science Academy Elementary School,http://es.horizoncolumbus.org/,(614) 475-4585
Horizon Science Academy Lorain,http://www.horizonlorain.org/,(440) 282-4277
Horizon Science Academy Primary,http://primary.horizoncolumbus.org,(614) 532-3311
Horizon Science Academy Toledo,http://www.horizontoledo.org/,(419) 474-3350
Horizon Science Academy Youngstown,http://www.horizonyoungstown.org/,(330) 782-3003
Horizon Science Academy-Cincinnati,http://www.horizoncincy.org/,(513) 242-0099
Horizon Science Academy-Cleveland Middle School,http://www.hsacms.org/,(216) 432-9940
Horizon Science Academy-Dayton,http://es.horizondayton.org/,(937) 277-1177
Horizon Science Academy-Denison Middle School,http://www.horizondenison.org/,(216) 739-9911
Horizon Science Academy-Springfield,http://www.horizonspringfield.org,(419) 535-0524
Howland Local School District,http://www.howlandschools.com/,(330) 856-8200
Hubbard Exempted Village School District,http://www.hubbard.k12.oh.us/,(330) 534-1921
Huber Heights City School District,http://www.huberheightscityschools.org/,(937) 237-6300
Hudson City School District,http://www.hudson.k12.oh.us/,(330) 653-1200
Huntington Local School District,http://www.huntsmen.org/,(740) 663-5892
Huron City Schools,http://www.huron-city.k12.oh.us/,(419) 433-1234
Ilead Spring Meadows School District,http://www.ileadspringmeadows.org,(419) 491-7423
Imagine Akron Academy,http://www.imagineakronacademy.org,(330) 753-1000
Imagine Columbus Primary School School District,http://www.imaginecolumbusprimaryacademy.com/,(614) 433-7510
Imagine Hill Avenue,http://imagineesa.org,(419) 727-9900
Imagine Leadership Academy School District,http://www.imagineleadershipacademy.org,(330) 753-1000
Imagine Woodbury Academy,http://imaginewoodbury.org/home/,(877) 644-6338
Independence Local School District,http://www.independence.k12.oh.us/,(216) 642-5850
Indian Creek Local School District,http://www.indian-creek.k12.oh.us/,(740) 264-3502
Indian Hill Exempted Village School District,http://indianhillschools.org/,(513) 272-4500
Indian Lake Local School District,http://www.indianlake.k12.oh.us/,(937) 686-8601
Indian Valley Local Schools,http://www.ivschools.org/,(740) 254-4334
Insight School Of Ohio School District,http://oh.insightschools.net/,(614) 300-2766
Inspire Charter School - Elementary,,(614) 505-5718
Interactive Media & Construction (Imac),http://www.mansfieldca.org/imac_home.aspx,(419) 525-0105
Intergenerational School The,http://www.tisonline.org,(216) 721-0120
International Academy Of Columbus,http://www.iac-school.com/,(614) 794-0643
Invictus High School School District,http://www.invictushigh.org/,(216) 539-7200
Ironton City School District,http://www.tigertown.com/,(740) 532-4133
Istem Geauga Early College High School School District,,(440) 358-8038
Jackson Center Local,http://www.jackson-center.k12.oh.us/,(937) 596-6053
Jackson City School District,http://jcs.k12.oh.us/,(740) 286-6442
Jackson Local School District,http://www.jackson.stark.k12.oh.us/,(330) 830-8000
Jackson-Milton Local School District,http://www.jacksonmilton.k12.oh.us/,(330) 538-3232
James A Garfield Local School District,http://garfield.sparcc.org/,(330) 527-4336
Jefferson Area Local School District,http://www.jalsd.org/,(440) 576-9180
Jefferson County School District,http://www.jeffjvs.org,(740) 264-5545
Jefferson Local School District,http://www.west-jefferson.k12.oh.us/,(614) 879-7654
Jefferson Township Local School District,http://www.jeffersontwp.k12.oh.us/,(937) 835-5682
Jennings Local School District,http://www.jenningslocal.org/,(419) 286-2238
Johnstown-Monroe Local School District,http://www.johnstown.k12.oh.us/,(740) 967-6846
Jonathan Alder Local School District,http://www.alder.k12.oh.us/,(614) 873-5621
Joseph Badger Local School District,http://www.badgerbraves.org,(330) 876-2800
Kalida Local School District,http://kalidaschools.org,(419) 532-3534
Kelleys Island Local School District,http://www.kelleys.k12.oh.us/,(419) 746-2730
Kenston Local School District,http://kenstonlocal.org/,(440) 543-9677
Kent City School District,http://www.kentschools.net/,(330) 676-7600
Kenton City School District,http://www.kentoncityschools.org/,(419) 673-0775
Kettering City School District,http://www.ketteringschools.org/,(937) 499-1430
Keystone Local School District,http://keystonelocalschools.org/,(440) 355-2424
Kids Care Elementary,http://www.kidscareelementary.org,(614) 498-0220
Kings Local School District,http://www.kingslocal.net/,(513) 398-8050
Kipp: Journey Academy,http://www.kippcolumbus.org,(614) 263-6137
Kirtland Local School District,http://www.kirtlandschools.org/,(440) 256-3360
Klepinger Community School,http://imagineklepinger.org/home/,(937) 610-1710
Knox County Joint Vocational School District,http://www.knoxcc.org,(740) 397-5820
L. Hollingworth School For Talented And Gifted,http://www.hollingworthschool.com/,(419) 705-3411
Labrae Local School District,http://labrae.school,(330) 898-1393
Lake Erie College Preparatory School,http://lakeerieprep.org/,(216) 453-4556
Lake Erie International High School School District,http://www.lakeeriehigh.org,(216) 539-7229
Lake Local School District,http://www.lakelocal.org/,(330) 877-9383
Lake Local School District,http://www.lakeschools.org/,(419) 661-6690
Lakeland Academy Community School School District,http://www.lakeland-academy.org/index.htm,(740) 658-1042
Lakeshore Intergenerational School,http://www.tisonline.org/lakeshore-intergenerational-school/,(216) 586-3872
Lakeview Local School District,http://www.lakeviewlocal.org/,(330) 637-8741
Lakewood City Academy,http://www.lakewoodcityschools.org/2/Home,(216) 529-4037
Lakewood City School District,http://www.lakewoodcityschools.org/,(216) 529-4092
Lakewood Local School District,http://www.lakewoodlocal.k12.oh.us/,(740) 928-5878
Lakota Local School District,http://www.lakotaonline.com/,(513) 874-5505
Lakota Local School District,http://www.lakotaschools.org,(419) 986-6650
Lancaster City School District,http://www.lancaster.k12.oh.us/,(740) 687-7300
Lawrence County Academy School District,,(740) 867-6641
Lawrence County School District,,(740) 867-6641
Lebanon City School District,http://www.lebanonschools.org/,(513) 934-5770
Leetonia Exempted Village School District,http://www.leetonia.k12.oh.us/,(330) 427-6594
Leipsic Local School District,http://llsdk12.org/,(419) 943-2165
Lexington Local School District,http://www.lexington.k12.oh.us/,(419) 884-2132
Liberty Center Local,http://www.libertycenter.k12.oh.us/,(419) 533-5011
Liberty High School,http://www.libertyhigh.org/,(937) 701-7945
Liberty Local School District,http://sites.liberty.k12.oh.us/,(330) 759-0807
Liberty Preparatory School School District,http://libertypreparatoryschool.weebly.com/,(330) 669-0055
Liberty Union-Thurston Local School District,http://www.libertyunion.org,(740) 862-4171
Liberty-Benton Local School District,http://www.liberty-benton.org/,(419) 422-8526
Licking Heights Local School District,http://www.lhschools.org/,(740) 927-6926
Licking Valley Local School District,http://www.lickingvalley.k12.oh.us,(740) 763-3525
Life Skills Center Of Youngstown,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(330) 743-6698
Life Skills High School of Cleveland,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(216) 431-7571
Lifelinks Community School,http://www.vwcs.net/schools/lifelinks-community-school/,(419) 623-5380
Lighthouse Community School Inc,http://www.lys.org/services/lighthouse-community-s,(513) 561-7888
Lima City School District,http://www.limacityschools.org/,(419) 996-3400
Lincoln Park Academy School District,http://acalincolnp.com/,(216) 263-7008
Lincoln Preparatory Academy School District,http://www.lincolnprepschool.org,(216) 772-1336
Lincolnview Local School District,http://www.lincolnview.k12.oh.us/,(419) 968-2226
Lisbon Exempted Village School District,http://www.lisbon.k12.oh.us/,(330) 424-7714
Little Miami Local School District,http://www.littlemiamischools.com/,(513) 899-2264
Lockland Local School District,http://www.locklandschools.org/,(513) 563-5000
Logan Elm Local School District,http://www.loganelmschools.com/,(740) 474-7501
Logan-Hocking Local School District,http://loganhocking.k12.oh.us/,(740) 385-8517
London Academy,http://www.london.k12.oh.us/london-academy/,(740) 852-5703
London City School District,http://www.london.k12.oh.us/,(740) 852-5700
Lorain Bilingual Preparatory Academy,http://lorainbilingual.org/,(440) 434-6320
Lorain City School District,http://www.lorainschools.org/,(440) 830-7271
Lorain County Joint Vocational School District,,(440) 774-1051
Lorain K-12 Digital Academy School District,http://www.loraindigitalacademy.com/,(440) 830-4300
Lorain Preparatory Academy School District,http://lorainprep.org/,(440) 282-3127
Lordstown Local School District,http://www.lordstown.k12.oh.us/,(330) 824-2535
Loudonville-Perrysville Exempted Village School District,http://lpschools.k12.oh.us/,(419) 994-3912
Louisville City School District,http://www.louisvillecityschools.org,(330) 875-9687
Loveland City School District,http://www.lovelandschools.org/,(513) 683-5600
Lowellville Local School District,http://www.lowellville.k12.oh.us/,(330) 536-6318
Lucas Local School District,http://www.lucascubs.org/,(419) 892-2338
Lynchburg-Clay Local School District,http://www.lynchclay.k12.oh.us/,(937) 364-2338
Mad River Local School District,http://thunder.madriver.k12.oh.us/,(937) 259-6606
Madeira City School District,http://www.madeiracityschools.org/,(513) 985-6070
Madison Avenue School Of Arts,http://www.madisonavenueschoolofart.com/,(419) 259-4000
Madison Local School District,http://www.madisonmohawks.org/,(513) 420-4750
Madison Local School District,http://www.madisonschools.net/,(440) 428-2166
Madison Local School District,http://www.mlsd.net/,(419) 589-2600
Madison-Plains Local School District,http://www.mplsd.org/,(740) 852-0290
Madisonville Smart Elementary School District,http://www.madisonvillesmart.org/,(513) 241-1101
Mahoning County Career & Technical Center,,(330) 729-4000
Mahoning County High School,http://www.mahoningcountyhighschool.org,(330) 702-7890
Mahoning Unlimited Classroom,http://mahoningunlimited.org/vv,(330) 533-8755
Mahoning Valley Opportunity Center,,(330) 744-7656
Main Preparatory Academy School District,http://www.Mainprep.org,(234) 738-1925
Manchester Local School District,http://www.panthercountry.org/,(330) 882-6926
Manchester Local School District,http://www.mlsd.us/,(937) 549-4777
Mansfield City School District,http://www.tygerpride.com/,(419) 525-6400
Mansfield Elective Academy,http://www.mansfieldca.org/electiveacademy_home.aspx,(567) 247-4475
Maple Heights City School District,http://www.mapleschools.com/,(216) 587-6100
Mapleton Local School District,http://www.mapleton.k12.oh.us/,(877) 644-6338
Maplewood Career Center,http://www.mwood.cc,(330) 296-2892
Maplewood Local School District,http://www.maplewood.k12.oh.us/,(330) 637-7506
Margaretta Local School District,http://www.margarettaschooldistrict.com,(419) 684-5322
Mariemont City School District,http://www.mariemontschools.org/,(513) 272-7500
Marietta City School District,http://www.marietta-city.org/,(740) 374-6500
Marion City Digital Academy,http://www.marioncityschools.org/domain/29,(740) 223-4417
Marion City School District,http://www.marioncityschools.org/,(740) 223-4402
Marion Local School District,http://www.marionlocal.org/,(419) 925-4294
Maritime Academy Of Toledo The,http://www.maritimeacademy.us,(419) 244-9999
Marlington Local School District,http://www.marlingtonlocal.org,(330) 823-7458
Marshall High School School District,http://www.marshallhs.org/,(513) 318-7078
Martins Ferry City School District,http://mfcsd.k12.oh.us/,(740) 633-1732
Marysville Exempted Village School District,http://www.marysville.k12.oh.us/,(937) 644-8105
Mason City School District,http://www.masonohioschools.com,(513) 398-0474
Mason Run High School School District,http://www.masonrunhigh.org/,(614) 362-7540
Massillon City School District,http://www.massillonschools.org/,(330) 830-3900
Massillon Digital Academy Inc,http://www.massillonschools.org/digitalacademy_home.aspx,(330) 830-3900
Mathews Local School District,http://www.mathews.k12.oh.us/,(330) 637-7000
Maumee City School District,http://www.maumee.k12.oh.us/,(419) 893-3200
Mayfield City School District,http://www.mayfieldschools.org/,(440) 995-7201
Maysville Local School District,http://www.maysville.k12.oh.us/,(740) 453-0754
Mccomb Local School District,http://mccomblocalschool.org/,(419) 293-3979
Mcdonald Local School District,http://www.mcdonald.k12.oh.us/,(330) 530-8051
Mechanicsburg Exempted Village School District,http://www.mechanicsburg.k12.oh.us/,(937) 834-2453
Medina City School District,http://www.medinabees.org/,(330) 636-3031
Medina County Joint Vocational School District,http://www.mcjvs.edu,(330) 725-8461
Meigs Local School District,http://www.ml.k12.oh.us/,(740) 992-2153
Menlo Park Academy,http://www.menloparkacademy.com,(440) 925-6365
Mentor Exempted Village School District,http://www.mentorschools.net/,(440) 255-4444
Metro Early College High School,http://www.themetroschool.org,(614) 259-6639
Metro Institute Of Technology School District,http://www.themetroschool.org/schools/mit,(614) 797-4797
Miami East Local School District,http://www.miamieast.k12.oh.us/,(937) 335-7505
Miami Trace Local School District,http://www.miamitrace.k12.oh.us/,(740) 335-3010
Miami Valley Academies,http://www.miamivalleyedu.org/,(937) 294-4522
Miami Valley Career Technical,,(937) 837-7781
Miamisburg City School District,http://miamisburgcityschools.org/,(937) 866-3381
Miamisburg Secondary Academy,http://miamisburgsecondaryacademy.org/,(937) 866-0771
Mid-East Career And Technology Centers,http://www.mideastctc.org,(740) 454-0105
Middlebury Academy School District,http://www.middleburyacademy.org,(330) 752-2766
Middletown City School District,http://www.middletowncityschools.com/,(513) 423-0781
Middletown Fitness & Prep Academy,http://www.performanceacademies.com/ohio-schools/middletown/,(513) 424-6110
Midnimo Cross Cultural Community School,http://sites.google.com/a/edsolns.com/educational-solutions,(614) 261-7480
Midview Local School District,http://www.midviewk12.org/,(877) 644-6338
Milford Exempted Village School District,http://www.milfordschools.org/,(513) 831-1314
Millcreek-West Unity Local School District,http://www.hilltop.k12.oh.us/,(419) 924-2365
Millennium Community School,http://www.2kschool.com/,(614) 255-5585
Miller City-New Cleveland Local School District,http://mcncschools.org,(419) 876-3172
Milton-Union Exempted Village School District,http://www.milton-union.k12.oh.us/,(937) 884-7910
Minerva Local School District,http://www.mlsd.sparcc.org/,(330) 868-4332
Minford Local School District,http://www.minford.k12.oh.us/,(740) 820-3896
Minster Local School District,http://www.minsterschools.org,(419) 628-3397
Mississinawa Valley Local School District,http://www.mississinawa.k12.oh.us/,(937) 968-5656
Mogadore Local School District,http://www.mogadore.net/,(330) 628-9946
Mohawk Local School District,http://www.mohawk.k12.oh.us/,(419) 927-2414
Monroe Local School District,http://www.monroelocalschools.com/,(513) 539-2536
Monroe Preparatory Academy,http://monroeprep.org/,(567) 998-7552
Monroeville Local School District,http://www.monroevilleschools.org/,(419) 465-2610
Montgomery Preparatory Academy,http://montgomeryprep.org/,(937) 991-2900
Montpelier Exempted Village School District,http://www.montpelier-k12.org,(419) 485-3676
Morgan Local School District,http://www.morganschools.org,(740) 962-2782
Mound Street Health Careers Acadmy,http://www.moundstreet.org,(937) 223-3041
Mound Street It Careers Academy,http://www.moundstreet.org,(937) 223-3041
Mound Street Military Careers Academy,http://www.moundstreet.org,(937) 223-3041
Mount Auburn International Academy,http://www.maia-sabis.net/,(513) 241-5500
Mount Auburn Preparatory Academy,http://mtauburnprep.org/,(513) 975-3391
Mount Gilead Exempted Village School District,http://www.mgschools.org,(419) 946-1646
Mount Vernon City School District,http://www.mvcsd.us,(740) 397-7422
Mt Healthy City,http://www.mthcs.org/,(513) 729-0077
Mt. Healthy Preparatory And Fitness Academy,http://www.performanceacademies.com/ohio-schools/cincinnati/,(513) 587-6280
Napoleon Area City School District,http://www.napoleon.k12.oh.us/,(419) 599-7015
National Trail Local School District,http://www.nationaltrail.k12.oh.us/,(937) 437-3333
Near West Intergenerational School,http://www.nearwestschool.org,(216) 961-4308
Nelsonville-York City School District,http://www.nelsonvilleyork.k12.oh.us/,(740) 753-4441
New Albany-Plain Local School District,http://www.napls.us/,(614) 855-2040
New Boston Local School District,http://www.newboston.k12.oh.us/,(740) 456-4626
New Bremen Local School District,http://www.newbremenschools.org,(419) 629-8606
New Day Academy Boarding & Day School,http://www.newday.academy,(440) 516-0866
New Knoxville Local School District,http://www.nk.k12.oh.us/,(419) 753-2431
New Lebanon Local School District,http://www.newlebanonschools.org/,(937) 687-1301
New Lexington City School District,http://www.nlpanthers.org/,(740) 342-4133
New London Local School District,http://www.nlschools.org/,(419) 929-8433
New Miami Local School District,http://www.new-miami.k12.oh.us/,(513) 863-0833
New Philadelphia City School District,http://www.npschools.org/,(330) 364-0600
New Richmond Exempted Village School District,http://www.nrschools.org/,(513) 553-2616
New Riegel Local School District,http://www.newriegelschools.org/,(419) 595-2265
Newark City School District,http://www.newarkcity.k12.oh.us/,(740) 670-7005
Newark Digital Academy,http://www.nda.k12.oh.us,(740) 328-2022
Newbridge Math & Reading Preparatory Academy School District,http://www.newbridgelearning.com/,(614) 279-6000
Newbury Local School District,http://www.newburyschools.org/,(440) 564-5501
Newcomerstown Exempted Village School District,http://www.nctschools.org/,(740) 498-8373
Newton Falls Exempted Village School District,http://www.newton-falls.k12.oh.us/,(330) 872-5445
Newton Local School District,http://www.newton.k12.oh.us/,(937) 676-2002
Nexus Academy of Cleveland,http://clevelandprepacademy.org/,(216) 741-2991
Nexus Academy Of Columbus School District,http://www.nexusacademyschool.com/blended-learning/ohio/colu,(614) 866-4761
Nexus Academy Of Toledo School District,http://www.nexusacademyschool.com/blended-learning/ohio/tole,(877) 644-6338
Niles City School District,http://www.nilescityschools.org/,(330) 989-5095
Noble Academy-Cleveland,http://www.noblecleveland.org,(216) 486-8866
Noble Academy-Columbus,http://www.noblecolumbus.org,(614) 326-0687
Noble Local School District,http://www.gozeps.org/,(740) 732-2084
Nordonia Hills City School District,http://www.nordoniaschools.org/,(330) 467-0580
North Baltimore Local School District,http://www.nbls.org/,(419) 257-3531
North Canton City School District,http://www.northcantonschools.org/,(330) 497-5600
North Central Academy-Fremont,http://www.northcentralacademy.org/,(419) 448-5786
North Central Local School District,http://www.ncschool.k12.oh.us/,(419) 737-2392
North College Hill City,http://www.northcollegehill.org/,(513) 931-8181
North Dayton School Of Science & Discovery,http://www.nhaschools.com/schools/northdayton/en/pages/defa,(937) 278-6671
North Fork Local School District,http://www.northfork.k12.oh.us/,(740) 892-3666
North Olmsted City School District,http://www.northolmstedschools.org/,(440) 588-5308
North Ridgeville City School District,http://www.nrcs.net/,(440) 327-4444
North Royalton City School District,http://www.northroyaltonsd.org/,(440) 237-8800
North Union Local School District,http://www.n-union.k12.oh.us/,(740) 943-2509
North Woods Career Prep High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(614) 891-9041
Northeast Ohio College Preparatory School,http://www.neocollegeprep.org/,(216) 965-0580
Northeastern Local School District,http://www.northeastern.k12.oh.us/,(937) 325-7615
Northeastern Local School District,http://www.tinora.org,(419) 497-3461
Northern Local School District,http://www.nlsd.k12.oh.us/,(740) 743-1303
Northland Preparatory And Fitness Academy,http://www.performanceacademies.com,(614) 318-0600
Northmont City School District,http://www.northmontschools.net,(937) 832-5000
Northmor Local School District,http://www.northmor.k12.oh.us/,(419) 946-8861
Northpointe Academy,http://www.northpointetoledo.com/,(419) 535-1997
Northridge Local School District,http://www.northridge.k12.oh.us/,(740) 967-6631
Northridge Local School District,http://www.northridgeschools.org,(937) 278-5885
Northwest Local School District,http://www.nwlsd.org/,(513) 923-1000
Northwest Local School District,http://www.nwlsd.org/,(740) 259-5558
Northwest Local School District,http://www.northwest.sparcc.org/,(330) 854-2291
Northwestern Local School District,http://www.northwestern.k12.oh.us/,(937) 964-1318
Northwestern Local School District,http://www.northwestern-wayne.k12.oh.us,(419) 846-3151
Northwood Local Schools,http://www.northwoodschools.org/,(419) 691-3888
Norton City School District,http://www.nortonschools.org,(330) 825-0863
Norwalk City School District,http://www.norwalk-city.k12.oh.us/,(419) 668-2779
Norwayne Local School District,http://www.norwaynelocal.k12.oh.us/,(330) 435-6382
Norwood City School District,http://www.norwoodschools.org/,(513) 924-2500
Norwood Conversion Community School,,(877) 644-6338
Oak Hill Union Local School District,http://www.oakhill.k12.oh.us/,(740) 682-7595
Oak Hills Local School District,http://ohlsd.us/,(513) 574-3200
Oakwood City School District,http://www.oakwoodschools.org/,(937) 297-5332
Oberlin City Schools,http://www.oberlinschools.net/,(440) 774-1458
Ohio College Preparatory School School District,http://ohiocollegeprep.org/,(216) 453-4550
Ohio Connections Academy Inc,http://www.connectionsacademy.com,(513) 486-9120
Ohio Construction Academy School District,http://www.ohioconstructionedu.org/,(877) 644-6338
Ohio Hi-Point Career Center,http://ohiohipoint.com/,(937) 599-3010
Ohio State School For The Blin,,(614) 752-1152
Ohio Valley Energy Technology Academy School District,http://www.oveta.net/,(740) 769-7395
Ohio Virtual Academy,http://www.ohva.org,(419) 482-0948
Old Brook High School School District,http://www.oldbrookhigh.org/,(440) 319-3370
Old Fort Local School District,http://www.old-fort.k12.oh.us/,(419) 992-4291
Olentangy Local School District,http://www.olentangy.k12.oh.us/,(740) 657-4050
Olmsted Falls City School District,http://www.ofcs.net/,(440) 427-6000
Ontario Local School District,http://www.ontarioschools.org/,(419) 747-4311
Orange City School District,http://www.orangeschools.org/,(216) 831-8600
Orchard Park Academy,http://www.orchardparkacademy.org,(440) 340-3202
Oregon City School District,http://www.oregoncityschools.org/,(419) 693-0661
Orion Academy,http://www.nhaschools.com/schools/orion/en/pages/default.as,(513) 251-6000
Orrville City School District,http://www.orrville.k12.oh.us/,(330) 682-4651
Osnaburg Local School District,http://www.ecweb.sparcc.org,(330) 488-1609
Otsego Local School District,http://www.otsegoknights.org/,(419) 823-4381
Ottawa Hills Local School District,http://www.ohschools.k12.oh.us/,(419) 536-6371
Ottawa-Glandorf Local School District,http://ottawaglandorf.org/,(419) 523-5261
Ottoville Local School District,http://www.ottovilleschools.org/,(419) 453-3356
Painesville City Local School District,http://www.painesville-city.k12.oh.us/,(440) 392-5060
Paint Valley Local School District,http://www.paintvalleylocalschools.org/,(740) 634-2826
Pandora-Gilboa Local School District,http://www.pg.noacsc.org/,(419) 384-3227
Par Excellence Academy,http://www.parexcellenceacademy.com,(740) 344-7279
Parkway Local School District,http://www.parkwayschools.org/,(419) 363-3045
Parma City School District,http://www.parmacityschools.org/,(440) 842-5300
Pathway School Of Discovery,http://www.nhaschools.com/schools/pathway/en/pages/default.,(937) 235-5498
Patrick Henry Local School District,http://www.phpatriots.org/,(419) 274-3015
Patriot Preparatory Academy,http://www.patriotprep.com/,(614) 864-5332
Paulding Exempted Village School District,http://www.pauldingschools.org/,(419) 399-4656
Penta Career Center,,(419) 661-6350
Performance Academy Eastland,http://www.performanceacademies.com/ohio-schools/columbus/ea,(614) 314-6301
Perkins Local School District,http://www.perkinsschools.org/,(419) 625-0484
Perry Local School District,http://www.mycommodores.org,(419) 221-2770
Perry Local School District,http://perry-lake.org/,(440) 259-9200
Perry Local School District,http://perrylocal.org/,(330) 477-8121
Perrysburg Exempted Village School District,http://www.perrysburgschools.net/,(419) 874-9131
Pettisville Local School District,http://pettisvilleschools.org/,(419) 446-2705
Phoenix Academy Community School,http://www.phoenixtoledo.org,(419) 720-4500
Phoenix Community Learning Center,http://www.phoenixclc.org/,(513) 351-5801
Pickaway-Ross County Joint Vocational School District,http://www.pickawayross.com,(740) 642-1200
Pickerington Community School School District,http://www.pickerington.k12.oh.us/pickerington-community-sch,(877) 644-6338
Pickerington Local School District,http://www.pickerington.k12.oh.us/,(614) 833-2110
Pike County Area School District,,(740) 289-2721
Pike-Delta-York Local School District,http://pdys.org/QP,(419) 822-3391
Pinnacle Academy,http://www.nhaschools.com/schools/pinnacle/en/pages/default,(216) 731-0127
Pioneer Career & Technology School District,,(419) 347-7926
Piqua City School District,http://www.piqua.org/,(937) 773-4321
Plain Local School District,http://www.plainlocal.org,(330) 492-3500
Pleasant Community Digital,http://cda.pleasantlocalschools.org/,(740) 389-4815
Pleasant Local School District,http://www.pleasant.treca.org/,(740) 389-4476
Plymouth-Shiloh Local School District,http://plymouth.schoolwires.com/,(419) 687-4733
Poland Local School District,http://www.polandbulldogs.com/,(330) 757-7000
Polaris School District,http://www.polaris.edu,(440) 891-7600
Polly Fox Academy Community School,http://www.pollyfox.org,(419) 720-4500
Port Clinton City School District,http://www.pccsd.net/,(419) 732-2102
Portage Lakes School District,,(330) 896-8200
Portsmouth City School District,http://www.portsmouthtrojans.org/,(740) 354-4727
Preble Shawnee Local School District,http://www.psarrows.com,(937) 452-1283
Princeton City School District,http://www.princeton.k12.oh.us/,(513) 864-1000
Promise Academy,http://www.promise-academy.com/,(216) 443-0500
Provost Academy Ohio School District,http://oh.provostacademy.com/,(614) 866-7570
Put-In-Bay Local School District,http://www.put-in-bay.k12.oh.us/,(419) 285-3614
Pymatuning Valley Local School District,http://www.pvschools.k12.oh.us/,(440) 293-6488
Quaker Digital Academy,http://www.go2qda.org,(330) 364-0618
Queen City Career Prep High School,http://www.careerprepschool.org/queencity/,(513) 475-0222
Quest Community School,http://www.questcommunityschool.org/,(216) 220-4412
Randall Park High School,http://www.lifeskillshs.com/Locations/Ohio/Life-Skills-Cente,(877) 644-6338
Ravenna City School District,http://www.ravennaschools.us/,(330) 296-9679
REACH Academy,http://reachacademytoledo.com,(419) 691-4876
Reading Community City School District,http://www.readingschools.org/,(513) 554-1800
Regent High School School District,http://www.regenthigh.org,(216) 512-0076
Renaissance Academy School of Multi-Media Arts,http://www.renaissanceacademyedu.org/,(614) 235-1900
Revere Local School District,http://www.revereschools.org/,(330) 666-4155
Reynoldsburg City School District,http://www.reyn.org/,(614) 501-1020
Richard Allen Academy,http://www.richardallenschools.com,(513) 795-6549
Richard Allen Academy Ii,http://rad.echalk.com/,(937) 586-9756
Richard Allen Academy Iii,http://rah.echalk.com/,(513) 868-2900
Richard Allen Preparatory,http://www.richardallenschools.com,(937) 951-2800
Richland Academy School Of Excellence,http://www.raschoolofexcellence.com/,(419) 522-7273
Richmond Heights Local School District,http://www.richmondheightsschools.org/,(216) 692-8485
Ridgedale Community School,,(740) 382-6065
Ridgedale Local School District,http://www.ridgedaleschools.org,(740) 382-6065
Ridgemont Local School District,http://www.ridgemont.k12.oh.us/,(937) 354-2441
Ridgewood Local School District,http://www.ridgewood.k12.oh.us/,(740) 545-6354
Ripley-Union-Lewis-Huntington Local School District,http://www.rulh.us,(937) 392-4396
Rise & Shine Academy School District,http://www.riseandshineacad.org/,(419) 244-9900
Rittman Academy,http://www.rittmanacademy.org,(330) 927-7401
Rittman Exempted Village School District,http://rittman.k12.oh.us/,(330) 927-7400
River Gate High School School District,http://www.rivergatehigh.org/,(330) 647-6500
River Valley Local School District,http://www.rvk12.org,(740) 725-5401
River View Local School District,http://www.river-view.k12.oh.us/,(740) 824-3521
Riverdale Local School District,http://www.riverdale.k12.oh.us/,(419) 694-4994
Riverside Academy,http://acariverside.com/,(513) 921-7777
Riverside Local School District,http://www.riverside.k12.oh.us,(937) 585-5981
Riverside Local School District,http://www.painesville-township.k12.oh.us/,(440) 352-0668
Road To Success Academy,http://rstaohio.com,(614) 252-4656
Rock Hill Local School District,http://www.rockhill.org/,(740) 532-7030
Rocky River City School District,http://www.rrcs.org/,(440) 333-6000
Rolling Hills Local School District,http://www.rollinghills.k12.oh.us/,(740) 432-5370
